"Year","NumberOfFatalities","NumberOfFatalCrashes","Month"
1989,8,6,"January"
1989,10,8,"January"
1989,2,2,"January"
1989,5,5,"January"
1989,7,3,"January"
1989,8,7,"January"
1989,8,7,"January"
1989,6,5,"January"
1989,8,8,"January"
1989,7,7,"January"
1989,8,3,"January"
1989,7,6,"January"
1989,13,9,"January"
1989,4,4,"January"
1989,8,7,"January"
1989,3,3,"January"
1989,2,2,"January"
1989,8,6,"January"
1989,3,3,"January"
1989,5,5,"January"
1989,15,11,"January"
1989,12,9,"January"
1989,2,2,"January"
1989,5,5,"January"
1989,7,7,"January"
1989,8,8,"January"
1989,16,12,"January"
1989,13,13,"January"
1989,9,8,"January"
1989,5,5,"January"
1989,6,6,"January"
1989,6,5,"February"
1989,2,2,"February"
1989,1,1,"February"
1989,7,6,"February"
1989,9,7,"February"
1989,14,10,"February"
1989,9,8,"February"
1989,7,7,"February"
1989,8,8,"February"
1989,9,5,"February"
1989,3,3,"February"
1989,11,10,"February"
1989,8,8,"February"
1989,8,7,"February"
1989,9,8,"February"
1989,10,10,"February"
1989,7,7,"February"
1989,6,6,"February"
1989,11,10,"February"
1989,5,5,"February"
1989,3,3,"February"
1989,9,9,"February"
1989,12,11,"February"
1989,10,9,"February"
1989,13,11,"February"
1989,7,7,"February"
1989,3,3,"February"
1989,4,4,"February"
1989,11,10,"March"
1989,7,7,"March"
1989,10,8,"March"
1989,16,15,"March"
1989,8,8,"March"
1989,4,4,"March"
1989,10,8,"March"
1989,3,3,"March"
1989,3,3,"March"
1989,10,10,"March"
1989,13,12,"March"
1989,6,6,"March"
1989,14,8,"March"
1989,11,9,"March"
1989,5,4,"March"
1989,0,0,"March"
1989,13,13,"March"
1989,9,8,"March"
1989,7,7,"March"
1989,2,2,"March"
1989,14,9,"March"
1989,8,7,"March"
1989,10,9,"March"
1989,4,4,"March"
1989,10,9,"March"
1989,9,8,"March"
1989,9,8,"March"
1989,7,6,"March"
1989,10,7,"March"
1989,7,7,"March"
1989,6,6,"March"
1989,6,6,"April"
1989,9,6,"April"
1989,4,3,"April"
1989,1,1,"April"
1989,4,4,"April"
1989,7,4,"April"
1989,11,9,"April"
1989,8,8,"April"
1989,10,10,"April"
1989,6,6,"April"
1989,3,3,"April"
1989,6,5,"April"
1989,4,3,"April"
1989,5,5,"April"
1989,8,7,"April"
1989,5,5,"April"
1989,4,4,"April"
1989,6,5,"April"
1989,4,4,"April"
1989,7,5,"April"
1989,5,5,"April"
1989,12,10,"April"
1989,6,5,"April"
1989,6,6,"April"
1989,10,8,"April"
1989,4,4,"April"
1989,9,9,"April"
1989,9,7,"April"
1989,2,2,"April"
1989,7,7,"April"
1989,5,3,"May"
1989,2,2,"May"
1989,2,2,"May"
1989,2,2,"May"
1989,5,5,"May"
1989,5,4,"May"
1989,9,9,"May"
1989,3,3,"May"
1989,3,3,"May"
1989,6,4,"May"
1989,9,9,"May"
1989,8,8,"May"
1989,12,11,"May"
1989,13,9,"May"
1989,5,5,"May"
1989,6,6,"May"
1989,4,3,"May"
1989,10,7,"May"
1989,6,6,"May"
1989,8,8,"May"
1989,11,9,"May"
1989,5,5,"May"
1989,4,4,"May"
1989,11,8,"May"
1989,7,7,"May"
1989,12,11,"May"
1989,9,9,"May"
1989,10,8,"May"
1989,12,11,"May"
1989,4,4,"May"
1989,5,5,"May"
1989,3,3,"June"
1989,8,8,"June"
1989,11,9,"June"
1989,4,4,"June"
1989,9,8,"June"
1989,5,5,"June"
1989,6,6,"June"
1989,7,7,"June"
1989,10,7,"June"
1989,11,11,"June"
1989,15,12,"June"
1989,5,3,"June"
1989,6,6,"June"
1989,11,11,"June"
1989,11,11,"June"
1989,9,7,"June"
1989,13,10,"June"
1989,14,7,"June"
1989,5,5,"June"
1989,7,5,"June"
1989,6,6,"June"
1989,11,10,"June"
1989,12,11,"June"
1989,19,13,"June"
1989,8,7,"June"
1989,9,6,"June"
1989,7,5,"June"
1989,2,2,"June"
1989,8,8,"June"
1989,5,5,"June"
1989,8,8,"July"
1989,8,5,"July"
1989,2,2,"July"
1989,9,9,"July"
1989,3,3,"July"
1989,7,7,"July"
1989,11,10,"July"
1989,11,9,"July"
1989,6,5,"July"
1989,5,5,"July"
1989,4,4,"July"
1989,6,5,"July"
1989,3,3,"July"
1989,14,12,"July"
1989,5,3,"July"
1989,6,4,"July"
1989,5,5,"July"
1989,5,5,"July"
1989,9,8,"July"
1989,7,6,"July"
1989,12,12,"July"
1989,10,7,"July"
1989,11,9,"July"
1989,6,6,"July"
1989,9,8,"July"
1989,7,7,"July"
1989,4,4,"July"
1989,11,11,"July"
1989,4,4,"July"
1989,2,2,"July"
1989,4,3,"July"
1989,8,8,"August"
1989,2,2,"August"
1989,6,6,"August"
1989,7,7,"August"
1989,8,6,"August"
1989,5,5,"August"
1989,4,4,"August"
1989,9,8,"August"
1989,10,9,"August"
1989,3,3,"August"
1989,17,12,"August"
1989,10,10,"August"
1989,6,6,"August"
1989,4,4,"August"
1989,6,5,"August"
1989,6,6,"August"
1989,5,5,"August"
1989,10,8,"August"
1989,10,8,"August"
1989,15,11,"August"
1989,6,5,"August"
1989,2,2,"August"
1989,1,1,"August"
1989,7,5,"August"
1989,9,5,"August"
1989,12,11,"August"
1989,2,2,"August"
1989,2,2,"August"
1989,6,5,"August"
1989,3,3,"August"
1989,10,7,"August"
1989,8,7,"September"
1989,9,8,"September"
1989,10,10,"September"
1989,9,8,"September"
1989,2,2,"September"
1989,5,5,"September"
1989,13,10,"September"
1989,14,12,"September"
1989,10,10,"September"
1989,2,2,"September"
1989,9,7,"September"
1989,9,7,"September"
1989,4,3,"September"
1989,8,8,"September"
1989,12,11,"September"
1989,10,10,"September"
1989,22,15,"September"
1989,6,5,"September"
1989,5,5,"September"
1989,12,12,"September"
1989,12,10,"September"
1989,15,14,"September"
1989,9,8,"September"
1989,11,8,"September"
1989,8,7,"September"
1989,4,3,"September"
1989,5,4,"September"
1989,4,4,"September"
1989,14,13,"September"
1989,8,8,"September"
1989,9,7,"October"
1989,8,7,"October"
1989,2,2,"October"
1989,6,4,"October"
1989,4,4,"October"
1989,7,7,"October"
1989,6,6,"October"
1989,3,3,"October"
1989,3,2,"October"
1989,4,4,"October"
1989,15,10,"October"
1989,5,5,"October"
1989,9,8,"October"
1989,12,11,"October"
1989,8,7,"October"
1989,8,7,"October"
1989,8,6,"October"
1989,2,2,"October"
1989,11,10,"October"
1989,29,10,"October"
1989,11,10,"October"
1989,11,10,"October"
1989,7,6,"October"
1989,3,3,"October"
1989,16,11,"October"
1989,7,7,"October"
1989,3,3,"October"
1989,7,7,"October"
1989,11,9,"October"
1989,5,4,"October"
1989,1,1,"October"
1989,4,4,"November"
1989,3,3,"November"
1989,4,4,"November"
1989,10,10,"November"
1989,4,4,"November"
1989,10,8,"November"
1989,12,11,"November"
1989,4,4,"November"
1989,3,3,"November"
1989,5,5,"November"
1989,8,8,"November"
1989,9,8,"November"
1989,7,7,"November"
1989,7,6,"November"
1989,6,6,"November"
1989,3,3,"November"
1989,5,5,"November"
1989,10,6,"November"
1989,9,9,"November"
1989,6,5,"November"
1989,3,3,"November"
1989,6,6,"November"
1989,10,8,"November"
1989,10,10,"November"
1989,12,11,"November"
1989,11,7,"November"
1989,6,6,"November"
1989,7,6,"November"
1989,4,4,"November"
1989,7,7,"November"
1989,7,6,"December"
1989,11,10,"December"
1989,12,11,"December"
1989,10,9,"December"
1989,5,5,"December"
1989,5,5,"December"
1989,8,7,"December"
1989,9,8,"December"
1989,14,11,"December"
1989,8,8,"December"
1989,17,11,"December"
1989,4,4,"December"
1989,8,6,"December"
1989,12,11,"December"
1989,8,7,"December"
1989,19,19,"December"
1989,8,8,"December"
1989,7,6,"December"
1989,8,6,"December"
1989,11,10,"December"
1989,11,8,"December"
1989,48,14,"December"
1989,7,6,"December"
1989,4,4,"December"
1989,1,1,"December"
1989,16,11,"December"
1989,9,6,"December"
1989,8,8,"December"
1989,4,4,"December"
1989,6,6,"December"
1989,2,2,"December"
1990,10,8,"January"
1990,2,2,"January"
1990,7,6,"January"
1990,4,3,"January"
1990,4,4,"January"
1990,10,8,"January"
1990,5,4,"January"
1990,10,8,"January"
1990,2,2,"January"
1990,4,4,"January"
1990,4,4,"January"
1990,10,7,"January"
1990,7,7,"January"
1990,12,8,"January"
1990,3,3,"January"
1990,4,4,"January"
1990,3,3,"January"
1990,5,5,"January"
1990,10,9,"January"
1990,0,0,"January"
1990,2,2,"January"
1990,10,8,"January"
1990,8,8,"January"
1990,2,2,"January"
1990,7,7,"January"
1990,4,4,"January"
1990,4,4,"January"
1990,6,5,"January"
1990,7,6,"January"
1990,2,2,"January"
1990,6,6,"January"
1990,13,11,"February"
1990,8,6,"February"
1990,5,5,"February"
1990,6,6,"February"
1990,1,1,"February"
1990,5,5,"February"
1990,10,9,"February"
1990,4,4,"February"
1990,4,4,"February"
1990,4,4,"February"
1990,4,4,"February"
1990,5,4,"February"
1990,6,6,"February"
1990,6,3,"February"
1990,4,4,"February"
1990,8,6,"February"
1990,7,5,"February"
1990,7,7,"February"
1990,9,7,"February"
1990,6,5,"February"
1990,4,4,"February"
1990,3,3,"February"
1990,1,1,"February"
1990,10,10,"February"
1990,11,10,"February"
1990,5,5,"February"
1990,5,5,"February"
1990,5,4,"February"
1990,9,9,"March"
1990,5,4,"March"
1990,10,9,"March"
1990,6,5,"March"
1990,8,6,"March"
1990,4,4,"March"
1990,5,5,"March"
1990,9,9,"March"
1990,6,5,"March"
1990,10,9,"March"
1990,11,10,"March"
1990,11,7,"March"
1990,6,6,"March"
1990,5,4,"March"
1990,6,6,"March"
1990,4,4,"March"
1990,7,6,"March"
1990,8,7,"March"
1990,10,9,"March"
1990,5,5,"March"
1990,3,3,"March"
1990,4,4,"March"
1990,11,8,"March"
1990,7,7,"March"
1990,9,9,"March"
1990,8,7,"March"
1990,4,3,"March"
1990,7,7,"March"
1990,9,9,"March"
1990,6,5,"March"
1990,8,7,"March"
1990,8,7,"April"
1990,3,3,"April"
1990,7,7,"April"
1990,8,8,"April"
1990,7,4,"April"
1990,8,7,"April"
1990,13,12,"April"
1990,1,1,"April"
1990,5,5,"April"
1990,3,3,"April"
1990,5,5,"April"
1990,9,7,"April"
1990,7,5,"April"
1990,7,7,"April"
1990,11,9,"April"
1990,8,6,"April"
1990,3,3,"April"
1990,3,3,"April"
1990,7,6,"April"
1990,3,3,"April"
1990,4,4,"April"
1990,7,6,"April"
1990,3,3,"April"
1990,3,3,"April"
1990,5,5,"April"
1990,5,5,"April"
1990,3,3,"April"
1990,8,7,"April"
1990,7,7,"April"
1990,4,4,"April"
1990,3,3,"May"
1990,9,8,"May"
1990,4,4,"May"
1990,6,5,"May"
1990,8,8,"May"
1990,7,7,"May"
1990,2,2,"May"
1990,10,8,"May"
1990,3,3,"May"
1990,4,4,"May"
1990,5,4,"May"
1990,11,10,"May"
1990,5,4,"May"
1990,4,3,"May"
1990,3,3,"May"
1990,4,3,"May"
1990,10,10,"May"
1990,6,5,"May"
1990,9,8,"May"
1990,5,5,"May"
1990,7,7,"May"
1990,4,4,"May"
1990,7,5,"May"
1990,5,4,"May"
1990,6,6,"May"
1990,10,8,"May"
1990,4,3,"May"
1990,7,5,"May"
1990,5,5,"May"
1990,1,1,"May"
1990,12,9,"May"
1990,8,7,"June"
1990,14,10,"June"
1990,5,4,"June"
1990,1,1,"June"
1990,5,4,"June"
1990,7,6,"June"
1990,6,6,"June"
1990,7,7,"June"
1990,14,11,"June"
1990,10,9,"June"
1990,2,2,"June"
1990,7,6,"June"
1990,6,6,"June"
1990,5,5,"June"
1990,4,4,"June"
1990,9,8,"June"
1990,8,6,"June"
1990,13,9,"June"
1990,7,7,"June"
1990,3,3,"June"
1990,9,8,"June"
1990,6,6,"June"
1990,7,6,"June"
1990,7,6,"June"
1990,12,12,"June"
1990,3,3,"June"
1990,7,6,"June"
1990,14,9,"June"
1990,3,3,"June"
1990,12,9,"June"
1990,6,6,"July"
1990,12,10,"July"
1990,8,7,"July"
1990,5,5,"July"
1990,5,5,"July"
1990,3,3,"July"
1990,3,3,"July"
1990,8,6,"July"
1990,6,6,"July"
1990,6,6,"July"
1990,8,6,"July"
1990,11,9,"July"
1990,8,8,"July"
1990,7,5,"July"
1990,3,3,"July"
1990,9,7,"July"
1990,6,5,"July"
1990,8,7,"July"
1990,7,7,"July"
1990,4,3,"July"
1990,12,10,"July"
1990,9,9,"July"
1990,3,3,"July"
1990,6,6,"July"
1990,1,1,"July"
1990,4,4,"July"
1990,11,11,"July"
1990,12,10,"July"
1990,8,8,"July"
1990,4,4,"July"
1990,2,2,"July"
1990,6,5,"August"
1990,9,9,"August"
1990,11,9,"August"
1990,5,5,"August"
1990,6,5,"August"
1990,1,1,"August"
1990,3,3,"August"
1990,5,5,"August"
1990,7,6,"August"
1990,4,4,"August"
1990,4,4,"August"
1990,7,6,"August"
1990,3,3,"August"
1990,3,3,"August"
1990,8,5,"August"
1990,4,4,"August"
1990,2,2,"August"
1990,16,13,"August"
1990,6,6,"August"
1990,5,5,"August"
1990,3,3,"August"
1990,8,6,"August"
1990,9,8,"August"
1990,3,3,"August"
1990,16,11,"August"
1990,5,5,"August"
1990,4,3,"August"
1990,3,3,"August"
1990,8,5,"August"
1990,4,4,"August"
1990,11,11,"August"
1990,6,6,"September"
1990,9,6,"September"
1990,3,3,"September"
1990,5,5,"September"
1990,8,7,"September"
1990,4,4,"September"
1990,3,3,"September"
1990,11,10,"September"
1990,10,5,"September"
1990,4,3,"September"
1990,10,10,"September"
1990,1,1,"September"
1990,9,7,"September"
1990,8,7,"September"
1990,11,11,"September"
1990,6,5,"September"
1990,8,7,"September"
1990,3,3,"September"
1990,9,9,"September"
1990,12,9,"September"
1990,12,9,"September"
1990,16,14,"September"
1990,10,10,"September"
1990,9,8,"September"
1990,18,6,"September"
1990,1,1,"September"
1990,10,10,"September"
1990,4,4,"September"
1990,7,6,"September"
1990,6,5,"September"
1990,3,3,"October"
1990,6,6,"October"
1990,7,6,"October"
1990,6,5,"October"
1990,8,8,"October"
1990,7,6,"October"
1990,6,5,"October"
1990,5,4,"October"
1990,2,2,"October"
1990,5,4,"October"
1990,5,4,"October"
1990,7,7,"October"
1990,10,9,"October"
1990,5,5,"October"
1990,8,5,"October"
1990,3,3,"October"
1990,3,3,"October"
1990,2,2,"October"
1990,5,5,"October"
1990,10,8,"October"
1990,7,7,"October"
1990,3,3,"October"
1990,2,2,"October"
1990,6,6,"October"
1990,7,5,"October"
1990,5,5,"October"
1990,9,9,"October"
1990,6,4,"October"
1990,4,2,"October"
1990,2,2,"October"
1990,3,3,"October"
1990,9,7,"November"
1990,3,3,"November"
1990,7,5,"November"
1990,8,7,"November"
1990,4,4,"November"
1990,5,5,"November"
1990,3,3,"November"
1990,14,11,"November"
1990,9,9,"November"
1990,3,2,"November"
1990,4,4,"November"
1990,2,2,"November"
1990,1,1,"November"
1990,7,6,"November"
1990,6,5,"November"
1990,10,9,"November"
1990,9,8,"November"
1990,10,9,"November"
1990,1,1,"November"
1990,4,4,"November"
1990,14,11,"November"
1990,1,1,"November"
1990,3,2,"November"
1990,8,7,"November"
1990,2,2,"November"
1990,2,2,"November"
1990,4,3,"November"
1990,5,5,"November"
1990,4,4,"November"
1990,9,9,"November"
1990,7,7,"December"
1990,12,11,"December"
1990,1,1,"December"
1990,3,3,"December"
1990,6,6,"December"
1990,8,7,"December"
1990,9,9,"December"
1990,12,10,"December"
1990,13,11,"December"
1990,4,3,"December"
1990,7,6,"December"
1990,8,8,"December"
1990,5,4,"December"
1990,16,10,"December"
1990,12,12,"December"
1990,8,7,"December"
1990,5,4,"December"
1990,3,3,"December"
1990,8,8,"December"
1990,4,4,"December"
1990,12,11,"December"
1990,8,7,"December"
1990,7,4,"December"
1990,5,5,"December"
1990,3,3,"December"
1990,8,8,"December"
1990,6,5,"December"
1990,4,4,"December"
1990,7,7,"December"
1990,5,3,"December"
1990,7,6,"December"
1991,7,7,"January"
1991,6,6,"January"
1991,5,5,"January"
1991,1,1,"January"
1991,1,1,"January"
1991,5,5,"January"
1991,4,4,"January"
1991,3,3,"January"
1991,8,8,"January"
1991,8,6,"January"
1991,8,8,"January"
1991,3,3,"January"
1991,14,9,"January"
1991,0,0,"January"
1991,6,6,"January"
1991,4,4,"January"
1991,9,9,"January"
1991,4,4,"January"
1991,7,7,"January"
1991,5,4,"January"
1991,7,7,"January"
1991,3,3,"January"
1991,7,7,"January"
1991,6,5,"January"
1991,7,5,"January"
1991,10,10,"January"
1991,9,8,"January"
1991,3,3,"January"
1991,2,2,"January"
1991,0,0,"January"
1991,9,7,"January"
1991,9,9,"February"
1991,6,6,"February"
1991,5,4,"February"
1991,2,2,"February"
1991,4,3,"February"
1991,9,8,"February"
1991,6,5,"February"
1991,9,8,"February"
1991,6,6,"February"
1991,6,6,"February"
1991,1,1,"February"
1991,3,3,"February"
1991,3,3,"February"
1991,4,3,"February"
1991,4,4,"February"
1991,11,8,"February"
1991,10,8,"February"
1991,7,7,"February"
1991,10,9,"February"
1991,3,2,"February"
1991,6,6,"February"
1991,6,5,"February"
1991,5,5,"February"
1991,6,5,"February"
1991,3,3,"February"
1991,1,1,"February"
1991,1,1,"February"
1991,7,6,"February"
1991,8,8,"March"
1991,13,10,"March"
1991,9,8,"March"
1991,4,3,"March"
1991,5,4,"March"
1991,7,6,"March"
1991,6,5,"March"
1991,7,7,"March"
1991,8,7,"March"
1991,14,9,"March"
1991,4,3,"March"
1991,5,3,"March"
1991,6,6,"March"
1991,4,2,"March"
1991,10,8,"March"
1991,12,10,"March"
1991,3,3,"March"
1991,3,3,"March"
1991,1,1,"March"
1991,5,5,"March"
1991,1,1,"March"
1991,7,7,"March"
1991,6,5,"March"
1991,4,3,"March"
1991,4,4,"March"
1991,9,7,"March"
1991,3,3,"March"
1991,10,9,"March"
1991,13,8,"March"
1991,10,8,"March"
1991,4,4,"March"
1991,3,3,"April"
1991,5,5,"April"
1991,4,4,"April"
1991,2,2,"April"
1991,3,3,"April"
1991,19,14,"April"
1991,16,13,"April"
1991,1,1,"April"
1991,6,6,"April"
1991,5,4,"April"
1991,6,4,"April"
1991,5,5,"April"
1991,12,11,"April"
1991,5,5,"April"
1991,4,3,"April"
1991,6,6,"April"
1991,6,5,"April"
1991,3,3,"April"
1991,6,5,"April"
1991,5,4,"April"
1991,6,6,"April"
1991,7,6,"April"
1991,8,7,"April"
1991,9,8,"April"
1991,4,3,"April"
1991,4,3,"April"
1991,5,4,"April"
1991,4,4,"April"
1991,4,4,"April"
1991,6,6,"April"
1991,3,3,"May"
1991,7,5,"May"
1991,8,8,"May"
1991,5,5,"May"
1991,5,5,"May"
1991,4,4,"May"
1991,5,5,"May"
1991,7,7,"May"
1991,3,3,"May"
1991,6,5,"May"
1991,9,9,"May"
1991,6,6,"May"
1991,3,3,"May"
1991,2,2,"May"
1991,6,5,"May"
1991,4,4,"May"
1991,4,3,"May"
1991,8,8,"May"
1991,5,5,"May"
1991,9,8,"May"
1991,4,4,"May"
1991,4,4,"May"
1991,3,3,"May"
1991,0,0,"May"
1991,12,12,"May"
1991,7,4,"May"
1991,3,3,"May"
1991,1,1,"May"
1991,4,4,"May"
1991,7,7,"May"
1991,6,4,"May"
1991,7,6,"June"
1991,4,3,"June"
1991,0,0,"June"
1991,0,0,"June"
1991,7,7,"June"
1991,2,2,"June"
1991,13,11,"June"
1991,6,6,"June"
1991,5,5,"June"
1991,1,1,"June"
1991,3,3,"June"
1991,2,2,"June"
1991,4,4,"June"
1991,3,3,"June"
1991,10,9,"June"
1991,8,7,"June"
1991,3,2,"June"
1991,1,1,"June"
1991,7,7,"June"
1991,8,7,"June"
1991,6,5,"June"
1991,11,10,"June"
1991,4,4,"June"
1991,4,4,"June"
1991,3,3,"June"
1991,2,2,"June"
1991,5,5,"June"
1991,4,3,"June"
1991,10,9,"June"
1991,7,7,"June"
1991,9,8,"July"
1991,2,2,"July"
1991,8,6,"July"
1991,2,2,"July"
1991,8,8,"July"
1991,10,9,"July"
1991,11,10,"July"
1991,4,3,"July"
1991,1,1,"July"
1991,0,0,"July"
1991,8,8,"July"
1991,9,9,"July"
1991,11,10,"July"
1991,4,3,"July"
1991,6,6,"July"
1991,2,2,"July"
1991,9,5,"July"
1991,2,2,"July"
1991,2,2,"July"
1991,8,7,"July"
1991,7,7,"July"
1991,7,5,"July"
1991,5,4,"July"
1991,4,4,"July"
1991,4,4,"July"
1991,10,8,"July"
1991,10,8,"July"
1991,5,4,"July"
1991,7,5,"July"
1991,7,7,"July"
1991,5,4,"July"
1991,2,2,"August"
1991,10,9,"August"
1991,14,12,"August"
1991,8,8,"August"
1991,6,4,"August"
1991,3,2,"August"
1991,4,3,"August"
1991,8,7,"August"
1991,3,3,"August"
1991,3,3,"August"
1991,7,7,"August"
1991,7,6,"August"
1991,6,5,"August"
1991,7,6,"August"
1991,3,3,"August"
1991,13,10,"August"
1991,12,7,"August"
1991,10,8,"August"
1991,4,4,"August"
1991,4,4,"August"
1991,10,9,"August"
1991,4,4,"August"
1991,3,3,"August"
1991,10,7,"August"
1991,5,5,"August"
1991,5,5,"August"
1991,4,4,"August"
1991,3,3,"August"
1991,4,4,"August"
1991,6,6,"August"
1991,6,6,"August"
1991,4,2,"September"
1991,5,5,"September"
1991,2,2,"September"
1991,7,6,"September"
1991,2,2,"September"
1991,8,8,"September"
1991,5,4,"September"
1991,13,8,"September"
1991,0,0,"September"
1991,2,2,"September"
1991,5,5,"September"
1991,5,4,"September"
1991,8,7,"September"
1991,14,13,"September"
1991,4,4,"September"
1991,6,5,"September"
1991,5,5,"September"
1991,1,1,"September"
1991,7,6,"September"
1991,9,8,"September"
1991,10,8,"September"
1991,5,5,"September"
1991,5,5,"September"
1991,5,5,"September"
1991,3,3,"September"
1991,13,10,"September"
1991,13,10,"September"
1991,7,7,"September"
1991,5,5,"September"
1991,3,3,"September"
1991,8,7,"October"
1991,3,3,"October"
1991,5,5,"October"
1991,5,5,"October"
1991,12,9,"October"
1991,10,10,"October"
1991,6,6,"October"
1991,3,3,"October"
1991,2,2,"October"
1991,3,3,"October"
1991,7,6,"October"
1991,9,8,"October"
1991,3,3,"October"
1991,6,4,"October"
1991,6,4,"October"
1991,10,9,"October"
1991,5,5,"October"
1991,8,7,"October"
1991,7,7,"October"
1991,7,7,"October"
1991,4,4,"October"
1991,1,1,"October"
1991,9,6,"October"
1991,2,2,"October"
1991,9,9,"October"
1991,8,8,"October"
1991,9,8,"October"
1991,5,5,"October"
1991,1,1,"October"
1991,2,2,"October"
1991,2,2,"October"
1991,4,4,"November"
1991,8,8,"November"
1991,6,4,"November"
1991,2,2,"November"
1991,4,4,"November"
1991,7,6,"November"
1991,4,4,"November"
1991,6,5,"November"
1991,15,13,"November"
1991,5,4,"November"
1991,3,3,"November"
1991,6,6,"November"
1991,3,3,"November"
1991,2,2,"November"
1991,10,9,"November"
1991,4,3,"November"
1991,7,5,"November"
1991,5,5,"November"
1991,5,4,"November"
1991,3,3,"November"
1991,4,3,"November"
1991,4,4,"November"
1991,6,6,"November"
1991,9,9,"November"
1991,6,5,"November"
1991,4,4,"November"
1991,6,5,"November"
1991,4,4,"November"
1991,10,8,"November"
1991,4,4,"November"
1991,9,9,"December"
1991,8,8,"December"
1991,11,10,"December"
1991,4,4,"December"
1991,6,5,"December"
1991,8,7,"December"
1991,5,5,"December"
1991,5,4,"December"
1991,3,2,"December"
1991,3,3,"December"
1991,8,5,"December"
1991,8,8,"December"
1991,6,5,"December"
1991,7,6,"December"
1991,6,6,"December"
1991,10,8,"December"
1991,5,4,"December"
1991,4,3,"December"
1991,6,5,"December"
1991,10,9,"December"
1991,10,10,"December"
1991,3,2,"December"
1991,3,3,"December"
1991,2,2,"December"
1991,10,8,"December"
1991,9,8,"December"
1991,10,6,"December"
1991,1,1,"December"
1991,5,5,"December"
1991,2,2,"December"
1991,3,3,"December"
1992,2,2,"January"
1992,5,3,"January"
1992,4,4,"January"
1992,16,10,"January"
1992,3,3,"January"
1992,4,4,"January"
1992,7,5,"January"
1992,6,6,"January"
1992,4,3,"January"
1992,5,3,"January"
1992,9,8,"January"
1992,3,3,"January"
1992,8,5,"January"
1992,1,1,"January"
1992,3,3,"January"
1992,3,3,"January"
1992,5,5,"January"
1992,6,6,"January"
1992,6,5,"January"
1992,4,4,"January"
1992,6,5,"January"
1992,8,8,"January"
1992,4,4,"January"
1992,7,7,"January"
1992,5,5,"January"
1992,4,4,"January"
1992,8,6,"January"
1992,6,6,"January"
1992,2,2,"January"
1992,6,5,"January"
1992,15,8,"January"
1992,4,4,"February"
1992,9,8,"February"
1992,2,2,"February"
1992,2,2,"February"
1992,6,3,"February"
1992,5,4,"February"
1992,4,4,"February"
1992,6,6,"February"
1992,10,9,"February"
1992,5,4,"February"
1992,4,4,"February"
1992,4,4,"February"
1992,3,3,"February"
1992,6,5,"February"
1992,15,8,"February"
1992,2,2,"February"
1992,2,2,"February"
1992,0,0,"February"
1992,6,6,"February"
1992,5,5,"February"
1992,7,6,"February"
1992,9,8,"February"
1992,5,5,"February"
1992,4,4,"February"
1992,0,0,"February"
1992,3,3,"February"
1992,10,9,"February"
1992,4,4,"February"
1992,6,6,"February"
1992,9,8,"March"
1992,2,2,"March"
1992,7,6,"March"
1992,3,3,"March"
1992,4,3,"March"
1992,6,6,"March"
1992,10,10,"March"
1992,1,1,"March"
1992,5,4,"March"
1992,4,4,"March"
1992,0,0,"March"
1992,5,5,"March"
1992,3,2,"March"
1992,8,8,"March"
1992,2,2,"March"
1992,2,2,"March"
1992,4,4,"March"
1992,1,1,"March"
1992,7,7,"March"
1992,9,8,"March"
1992,5,5,"March"
1992,10,9,"March"
1992,10,10,"March"
1992,1,1,"March"
1992,3,3,"March"
1992,6,5,"March"
1992,11,10,"March"
1992,11,10,"March"
1992,5,5,"March"
1992,5,5,"March"
1992,2,2,"March"
1992,5,5,"April"
1992,6,6,"April"
1992,11,10,"April"
1992,5,5,"April"
1992,15,8,"April"
1992,3,3,"April"
1992,4,4,"April"
1992,8,8,"April"
1992,5,5,"April"
1992,5,5,"April"
1992,6,6,"April"
1992,11,7,"April"
1992,2,2,"April"
1992,5,5,"April"
1992,7,7,"April"
1992,6,4,"April"
1992,7,5,"April"
1992,10,10,"April"
1992,7,6,"April"
1992,6,6,"April"
1992,6,6,"April"
1992,1,1,"April"
1992,3,3,"April"
1992,10,8,"April"
1992,6,5,"April"
1992,10,10,"April"
1992,2,2,"April"
1992,4,4,"April"
1992,5,4,"April"
1992,4,4,"April"
1992,6,6,"May"
1992,6,5,"May"
1992,7,7,"May"
1992,3,3,"May"
1992,4,4,"May"
1992,2,2,"May"
1992,4,4,"May"
1992,11,8,"May"
1992,5,5,"May"
1992,5,5,"May"
1992,6,5,"May"
1992,4,4,"May"
1992,4,4,"May"
1992,2,2,"May"
1992,7,6,"May"
1992,6,5,"May"
1992,4,4,"May"
1992,6,6,"May"
1992,0,0,"May"
1992,4,4,"May"
1992,3,3,"May"
1992,8,7,"May"
1992,7,5,"May"
1992,6,4,"May"
1992,5,5,"May"
1992,5,4,"May"
1992,6,6,"May"
1992,4,3,"May"
1992,5,5,"May"
1992,3,3,"May"
1992,4,4,"May"
1992,2,2,"June"
1992,3,3,"June"
1992,3,3,"June"
1992,7,7,"June"
1992,7,7,"June"
1992,2,2,"June"
1992,3,3,"June"
1992,8,4,"June"
1992,1,1,"June"
1992,4,2,"June"
1992,2,2,"June"
1992,10,10,"June"
1992,4,4,"June"
1992,8,8,"June"
1992,6,5,"June"
1992,10,10,"June"
1992,3,3,"June"
1992,10,10,"June"
1992,6,6,"June"
1992,12,10,"June"
1992,10,7,"June"
1992,3,3,"June"
