"State","Year","CrashType","DeadPersonType","Gender","Age","StateFullForm"
"NSW",1997,"Single","Pedestrian","Male",42,"New South Wales"
"VIC",1997,"Multiple","Motorcycle rider","Male",27,"Victoria"
"NSW",1997,"Single","Pedestrian","Female",87,"New South Wales"
"QLD",1997,"Single","Pedestrian","Male",4,"Queensland"
"QLD",1997,"Single","Motorcycle rider","Male",34,"Queensland"
"SA",1997,"Single","Driver","Male",36,"South Australia"
"QLD",1997,"Single","Driver","Male",23,"Queensland"
"WA",1997,"Single","Passenger","Female",76,"West Australia"
"QLD",1997,"Single","Driver","Male",21,"Queensland"
"NSW",1997,"Single","Pedestrian","Male",31,"New South Wales"
"WA",1997,"Single","Driver","Male",28,"West Australia"
"NSW",1997,"Multiple","Passenger","Female",38,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",52,"Victoria"
"TAS",1997,"Single","Passenger","Male",21,"Tasmania"
"NT",1997,"Multiple","Passenger","Female",10,"Northern Territory"
"SA",1997,"Multiple","Motorcycle rider","Male",28,"South Australia"
"QLD",1997,"Single","Pedestrian","Male",71,"Queensland"
"QLD",1997,"Multiple","Motorcycle rider","Male",48,"Queensland"
"NSW",1997,"Multiple","Driver","Male",84,"New South Wales"
"QLD",1997,"Single","Driver","Male",17,"Queensland"
"NSW",1997,"Multiple","Driver","Male",20,"New South Wales"
"NSW",1997,"Multiple","Passenger","Male",22,"New South Wales"
"NSW",1997,"Single","Driver","Female",34,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",73,"New South Wales"
"NT",1997,"Single","Passenger","Female",33,"Northern Territory"
"WA",1997,"Multiple","Driver","Male",17,"West Australia"
"NSW",1997,"Multiple","Passenger","Male",80,"New South Wales"
"NSW",1997,"Single","Driver","Female",17,"New South Wales"
"NSW",1997,"Multiple","Motorcycle rider","Male",20,"New South Wales"
"VIC",1997,"Single","Pedestrian","Male",70,"Victoria"
"NSW",1997,"Single","Pedestrian","Male",70,"New South Wales"
"NSW",1997,"Multiple","Passenger","Male",29,"New South Wales"
"NT",1997,"Single","Pedestrian","Female",43,"Northern Territory"
"QLD",1997,"Single","Pedestrian","Male",25,"Queensland"
"NSW",1997,"Single","Passenger","Male",22,"New South Wales"
"NSW",1997,"Multiple","Driver","Male",18,"New South Wales"
"NSW",1997,"Multiple","Passenger","Male",80,"New South Wales"
"QLD",1997,"Single","Motorcycle rider","Male",34,"Queensland"
"TAS",1997,"Single","Driver","Male",72,"Tasmania"
"VIC",1997,"Multiple","Driver","Female",55,"Victoria"
"WA",1997,"Single","Driver","Male",22,"West Australia"
"NSW",1997,"Multiple","Passenger","Female",17,"New South Wales"
"SA",1997,"Multiple","Driver","Male",53,"South Australia"
"NSW",1997,"Single","Pedestrian","Male",64,"New South Wales"
"ACT",1997,"Single","Driver","Female",28,"Austialian Capital Territory"
"NSW",1997,"Single","Driver","Male",22,"New South Wales"
"NSW",1997,"Single","Driver","Male",29,"New South Wales"
"NSW",1997,"Multiple","Driver","Female",31,"New South Wales"
"WA",1997,"Multiple","Driver","Male",39,"West Australia"
"QLD",1997,"Multiple","Passenger","Male",18,"Queensland"
"QLD",1997,"Multiple","Passenger","Female",18,"Queensland"
"QLD",1997,"Multiple","Motorcycle rider","Male",46,"Queensland"
"TAS",1997,"Multiple","Driver","Male",33,"Tasmania"
"WA",1997,"Single","Pedestrian","Male",27,"West Australia"
"WA",1997,"Single","Motorcycle rider","Male",50,"West Australia"
"WA",1997,"Single","Driver","Male",20,"West Australia"
"NSW",1997,"Single","Pedestrian","Female",13,"New South Wales"
"NSW",1997,"Multiple","Motorcycle rider","Male",62,"New South Wales"
"NSW",1997,"Single","Driver","Male",55,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",72,"New South Wales"
"NSW",1997,"Single","Passenger","Male",12,"New South Wales"
"WA",1997,"Multiple","Driver","Female",28,"West Australia"
"SA",1997,"Multiple","Driver","Male",43,"South Australia"
"NSW",1997,"Single","Motorcycle rider","Male",35,"New South Wales"
"NSW",1997,"Single","Driver","Male",28,"New South Wales"
"QLD",1997,"Single","Driver","Male",20,"Queensland"
"QLD",1997,"Single","Motorcycle rider","Male",37,"Queensland"
"NSW",1997,"Multiple","Passenger","Male",77,"New South Wales"
"QLD",1997,"Single","Driver","Female",21,"Queensland"
"VIC",1997,"Single","Driver","Male",53,"Victoria"
"VIC",1997,"Multiple","Pedal cyclist","Male",61,"Victoria"
"VIC",1997,"Single","Motorcycle rider","Male",69,"Victoria"
"WA",1997,"Single","Passenger","Female",35,"West Australia"
"QLD",1997,"Multiple","Passenger","Female",71,"Queensland"
"TAS",1997,"Multiple","Driver","Male",70,"Tasmania"
"VIC",1997,"Single","Driver","Female",22,"Victoria"
"SA",1997,"Multiple","Passenger","Male",78,"South Australia"
"NSW",1997,"Single","Passenger","Female",84,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",37,"Victoria"
"NSW",1997,"Multiple","Pedal cyclist","Male",24,"New South Wales"
"TAS",1997,"Single","Driver","Female",96,"Tasmania"
"TAS",1997,"Single","Motorcycle pillion passenger","Female",49,"Tasmania"
"NSW",1997,"Multiple","Driver","Male",18,"New South Wales"
"NSW",1997,"Multiple","Motorcycle rider","Female",59,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",74,"Victoria"
"NSW",1997,"Multiple","Pedal cyclist","Male",4,"New South Wales"
"SA",1997,"Single","Passenger","Male",84,"South Australia"
"NSW",1997,"Multiple","Driver","Female",36,"New South Wales"
"SA",1997,"Multiple","Driver","Male",73,"South Australia"
"SA",1997,"Multiple","Passenger","Female",87,"South Australia"
"QLD",1997,"Multiple","Passenger","Male",7,"Queensland"
"NT",1997,"Single","Passenger","Female",53,"Northern Territory"
"QLD",1997,"Single","Passenger","Male",0,"Queensland"
"NSW",1997,"Single","Driver","Male",51,"New South Wales"
"SA",1997,"Multiple","Passenger","Male",5,"South Australia"
"VIC",1997,"Single","Driver","Male",36,"Victoria"
"NSW",1997,"Single","Motorcycle rider","Male",37,"New South Wales"
"WA",1997,"Single","Pedestrian","Male",23,"West Australia"
"NSW",1997,"Single","Pedestrian","Female",67,"New South Wales"
"QLD",1997,"Single","Driver","Male",35,"Queensland"
"QLD",1997,"Single","Driver","Male",22,"Queensland"
"NSW",1997,"Multiple","Driver","Male",33,"New South Wales"
"QLD",1997,"Multiple","Passenger","Female",7,"Queensland"
"SA",1997,"Multiple","Passenger","Female",30,"South Australia"
"ACT",1997,"Multiple","Motorcycle rider","Male",32,"Austialian Capital Territory"
"VIC",1997,"Single","Pedestrian","Female",38,"Victoria"
"NSW",1997,"Multiple","Pedal cyclist","Female",40,"New South Wales"
"QLD",1997,"Multiple","Passenger","Female",55,"Queensland"
"NSW",1997,"Multiple","Passenger","Female",24,"New South Wales"
"ACT",1997,"Single","Motorcycle rider","Male",18,"Austialian Capital Territory"
"VIC",1997,"Single","Passenger","Female",19,"Victoria"
"WA",1997,"Multiple","Driver","Male",48,"West Australia"
"QLD",1997,"Single","Passenger","Male",23,"Queensland"
"NSW",1997,"Single","Driver","Male",23,"New South Wales"
"WA",1997,"Multiple","Driver","Male",85,"West Australia"
"TAS",1997,"Single","Pedestrian","Male",22,"Tasmania"
"VIC",1997,"Single","Driver","Male",31,"Victoria"
"WA",1997,"Multiple","Driver","Male",65,"West Australia"
"NSW",1997,"Multiple","Driver","Male",47,"New South Wales"
"QLD",1997,"Single","Pedestrian","Female",11,"Queensland"
"WA",1997,"Multiple","Motorcycle rider","Female",46,"West Australia"
"NSW",1997,"Single","Driver","Male",49,"New South Wales"
"VIC",1997,"Single","Motorcycle rider","Male",35,"Victoria"
"VIC",1997,"Single","Pedestrian","Male",32,"Victoria"
"NSW",1997,"Multiple","Passenger","Female",6,"New South Wales"
"SA",1997,"Multiple","Passenger","Female",7,"South Australia"
"NSW",1997,"Single","Motorcycle rider","Male",23,"New South Wales"
"VIC",1997,"Multiple","Motorcycle rider","Male",26,"Victoria"
"QLD",1997,"Multiple","Motorcycle rider","Male",46,"Queensland"
"NSW",1997,"Single","Driver","Male",23,"New South Wales"
"NSW",1997,"Single","Passenger","Female",27,"New South Wales"
"SA",1997,"Single","Pedestrian","Female",82,"South Australia"
"VIC",1997,"Multiple","Pedal cyclist","Male",26,"Victoria"
"NSW",1997,"Multiple","Passenger","Male",10,"New South Wales"
"NSW",1997,"Single","Passenger","Female",21,"New South Wales"
"VIC",1997,"Single","Pedestrian","Male",77,"Victoria"
"QLD",1997,"Multiple","Passenger","Female",72,"Queensland"
"QLD",1997,"Multiple","Passenger","Female",20,"Queensland"
"ACT",1997,"Single","Driver","Male",22,"Austialian Capital Territory"
"VIC",1997,"Single","Passenger","Female",75,"Victoria"
"VIC",1997,"Single","Pedestrian","Male",49,"Victoria"
"NSW",1997,"Multiple","Pedestrian","Female",28,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",41,"Victoria"
"SA",1997,"Single","Driver","Female",31,"South Australia"
"QLD",1997,"Single","Passenger","Male",17,"Queensland"
"WA",1997,"Single","Driver","Male",64,"West Australia"
"WA",1997,"Single","Passenger","Male",18,"West Australia"
"TAS",1997,"Single","Driver","Male",21,"Tasmania"
"NSW",1997,"Multiple","Driver","Male",61,"New South Wales"
"NSW",1997,"Single","Driver","Male",37,"New South Wales"
"NSW",1997,"Single","Driver","Male",18,"New South Wales"
"NSW",1997,"Multiple","Driver","Male",39,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",29,"Victoria"
"WA",1997,"Single","Pedestrian","Male",21,"West Australia"
"SA",1997,"Multiple","Pedal cyclist","Male",68,"South Australia"
"QLD",1997,"Single","Passenger","Male",20,"Queensland"
"NSW",1997,"Multiple","Passenger","Male",3,"New South Wales"
"NSW",1997,"Single","Driver","Male",19,"New South Wales"
"QLD",1997,"Multiple","Passenger","Female",14,"Queensland"
"NSW",1997,"Single","Motorcycle rider","Male",84,"New South Wales"
"NSW",1997,"Single","Driver","Male",19,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",43,"New South Wales"
"NSW",1997,"Single","Driver","Female",34,"New South Wales"
"NSW",1997,"Single","Driver","Male",85,"New South Wales"
"NSW",1997,"Multiple","Driver","Male",23,"New South Wales"
"NSW",1997,"Multiple","Driver","Female",42,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",34,"Victoria"
"QLD",1997,"Single","Driver","Male",43,"Queensland"
"ACT",1997,"Single","Driver","Male",21,"Austialian Capital Territory"
"NSW",1997,"Single","Passenger","Male",18,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",43,"Victoria"
"VIC",1997,"Multiple","Passenger","Female",25,"Victoria"
"VIC",1997,"Single","Driver","Male",20,"Victoria"
"QLD",1997,"Single","Passenger","Male",18,"Queensland"
"WA",1997,"Single","Pedestrian","Male",70,"West Australia"
"SA",1997,"Single","Driver","Male",23,"South Australia"
"NT",1997,"Single","Driver","Male",37,"Northern Territory"
"VIC",1997,"Single","Driver","Male",51,"Victoria"
"NSW",1997,"Single","Passenger","Male",23,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",77,"New South Wales"
"NSW",1997,"Single","Passenger","Male",29,"New South Wales"
"NSW",1997,"Single","Motorcycle pillion passenger","Female",41,"New South Wales"
"VIC",1997,"Single","Passenger","Female",20,"Victoria"
"WA",1997,"Single","Pedestrian","Female",45,"West Australia"
"VIC",1997,"Multiple","Driver","Male",75,"Victoria"
"VIC",1997,"Single","Driver","Male",22,"Victoria"
"SA",1997,"Single","Driver","Male",35,"South Australia"
"NSW",1997,"Single","Pedestrian","Male",73,"New South Wales"
"TAS",1997,"Multiple","Motorcycle rider","Male",31,"Tasmania"
"SA",1997,"Multiple","Driver","Male",59,"South Australia"
"NSW",1997,"Single","Driver","Female",30,"New South Wales"
"NT",1997,"Single","Pedal cyclist","Male",25,"Northern Territory"
"NSW",1997,"Multiple","Passenger","Male",53,"New South Wales"
"WA",1997,"Single","Pedestrian","Male",8,"West Australia"
"QLD",1997,"Single","Passenger","Male",73,"Queensland"
"SA",1997,"Single","Pedestrian","Male",32,"South Australia"
"SA",1997,"Single","Passenger","Male",37,"South Australia"
"VIC",1997,"Single","Driver","Male",80,"Victoria"
"WA",1997,"Single","Driver","Male",26,"West Australia"
"QLD",1997,"Single","Driver","Female",69,"Queensland"
"VIC",1997,"Single","Passenger","Female",0,"Victoria"
"NSW",1997,"Single","Passenger","Female",5,"New South Wales"
"WA",1997,"Single","Driver","Male",55,"West Australia"
"QLD",1997,"Multiple","Motorcycle rider","Male",22,"Queensland"
"QLD",1997,"Single","Passenger","Male",34,"Queensland"
"WA",1997,"Single","Driver","Male",54,"West Australia"
"SA",1997,"Single","Passenger","Male",22,"South Australia"
"WA",1997,"Multiple","Motorcycle rider","Male",26,"West Australia"
"VIC",1997,"Multiple","Driver","Male",84,"Victoria"
"QLD",1997,"Multiple","Driver","Male",43,"Queensland"
"QLD",1997,"Single","Motorcycle rider","Male",47,"Queensland"
"VIC",1997,"Single","Driver","Male",24,"Victoria"
"NSW",1997,"Multiple","Passenger","Female",11,"New South Wales"
"NT",1997,"Multiple","Passenger","Female",1,"Northern Territory"
"WA",1997,"Multiple","Driver","Male",48,"West Australia"
"QLD",1997,"Single","Pedestrian","Female",29,"Queensland"
"WA",1997,"Single","Driver","Female",74,"West Australia"
"VIC",1997,"Multiple","Passenger","Male",89,"Victoria"
"QLD",1997,"Single","Driver","Male",44,"Queensland"
"NSW",1997,"Multiple","Driver","Female",24,"New South Wales"
"WA",1997,"Single","Driver","Male",25,"West Australia"
"QLD",1997,"Single","Pedestrian","Female",19,"Queensland"
"QLD",1997,"Multiple","Pedal cyclist","Female",50,"Queensland"
"QLD",1997,"Multiple","Driver","Male",83,"Queensland"
"NSW",1997,"Single","Pedestrian","Male",84,"New South Wales"
"QLD",1997,"Multiple","Driver","Male",64,"Queensland"
"VIC",1997,"Single","Passenger","Female",25,"Victoria"
"VIC",1997,"Single","Driver","Male",46,"Victoria"
"WA",1997,"Multiple","Driver","Female",42,"West Australia"
"QLD",1997,"Single","Passenger","Male",21,"Queensland"
"TAS",1997,"Multiple","Passenger","Female",29,"Tasmania"
"NSW",1997,"Single","Passenger","Female",55,"New South Wales"
"WA",1997,"Single","Driver","Male",71,"West Australia"
"NT",1997,"Single","Passenger","Male",19,"Northern Territory"
"NSW",1997,"Multiple","Driver","Male",72,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",42,"New South Wales"
"NT",1997,"Multiple","Driver","Male",35,"Northern Territory"
"WA",1997,"Multiple","Driver","Male",72,"West Australia"
"NT",1997,"Single","Passenger","Male",17,"Northern Territory"
"VIC",1997,"Single","Pedestrian","Male",12,"Victoria"
"NSW",1997,"Multiple","Passenger","Female",39,"New South Wales"
"VIC",1997,"Multiple","Motorcycle rider","Male",51,"Victoria"
"NSW",1997,"Multiple","Passenger","Male",47,"New South Wales"
"NSW",1997,"Single","Driver","Male",63,"New South Wales"
"NSW",1997,"Single","Passenger","Male",28,"New South Wales"
"NSW",1997,"Multiple","Driver","Female",32,"New South Wales"
"NSW",1997,"Single","Driver","Male",31,"New South Wales"
"WA",1997,"Single","Motorcycle pillion passenger","Male",23,"West Australia"
"QLD",1997,"Single","Driver","Male",42,"Queensland"
"TAS",1997,"Single","Driver","Female",86,"Tasmania"
"VIC",1997,"Single","Passenger","Female",11,"Victoria"
"QLD",1997,"Single","Pedal cyclist","Male",25,"Queensland"
"WA",1997,"Single","Driver","Female",67,"West Australia"
"SA",1997,"Multiple","Passenger","Male",24,"South Australia"
"QLD",1997,"Single","Driver","Male",18,"Queensland"
"WA",1997,"Single","Passenger","Female",61,"West Australia"
"NSW",1997,"Single","Driver","Male",21,"New South Wales"
"NSW",1997,"Multiple","Motorcycle rider","Male",20,"New South Wales"
"NSW",1997,"Multiple","Driver","Male",69,"New South Wales"
"QLD",1997,"Multiple","Driver","Female",86,"Queensland"
"NSW",1997,"Multiple","Passenger","Female",60,"New South Wales"
"QLD",1997,"Multiple","Pedestrian","Female",30,"Queensland"
"WA",1997,"Single","Passenger","Male",17,"West Australia"
"SA",1997,"Multiple","Driver","Male",51,"South Australia"
"NSW",1997,"Single","Passenger","Male",86,"New South Wales"
"WA",1997,"Single","Pedestrian","Male",48,"West Australia"
"NSW",1997,"Single","Pedestrian","Male",76,"New South Wales"
"QLD",1997,"Multiple","Driver","Male",39,"Queensland"
"WA",1997,"Multiple","Passenger","Female",16,"West Australia"
"VIC",1997,"Multiple","Driver","Male",84,"Victoria"
"SA",1997,"Single","Pedestrian","Female",42,"South Australia"
"QLD",1997,"Single","Driver","Female",41,"Queensland"
"NSW",1997,"Single","Passenger","Male",21,"New South Wales"
"WA",1997,"Multiple","Passenger","Female",14,"West Australia"
"SA",1997,"Multiple","Motorcycle pillion passenger","Female",33,"South Australia"
"NSW",1997,"Single","Pedestrian","Male",34,"New South Wales"
"QLD",1997,"Multiple","Passenger","Male",88,"Queensland"
"QLD",1997,"Single","Driver","Male",32,"Queensland"
"ACT",1997,"Single","Pedestrian","Male",19,"Austialian Capital Territory"
"NSW",1997,"Multiple","Driver","Female",25,"New South Wales"
"WA",1997,"Single","Driver","Female",63,"West Australia"
"SA",1997,"Multiple","Motorcycle rider","Male",23,"South Australia"
"VIC",1997,"Single","Passenger","Female",85,"Victoria"
"NSW",1997,"Single","Pedestrian","Male",68,"New South Wales"
"NT",1997,"Single","Pedestrian","Male",69,"Northern Territory"
"VIC",1997,"Single","Passenger","Female",62,"Victoria"
"WA",1997,"Multiple","Driver","Male",38,"West Australia"
"NSW",1997,"Multiple","Driver","Male",21,"New South Wales"
"QLD",1997,"Single","Passenger","Male",15,"Queensland"
"NSW",1997,"Multiple","Driver","Male",48,"New South Wales"
"VIC",1997,"Multiple","Driver","Male",62,"Victoria"
"SA",1997,"Multiple","Driver","Male",69,"South Australia"
"NSW",1997,"Multiple","Motorcycle rider","Male",54,"New South Wales"
"WA",1997,"Single","Driver","Male",20,"West Australia"
"NSW",1997,"Single","Passenger","Male",23,"New South Wales"
"WA",1997,"Single","Driver","Male",33,"West Australia"
"WA",1997,"Single","Driver","Male",28,"West Australia"
"QLD",1997,"Multiple","Driver","Male",17,"Queensland"
"WA",1997,"Multiple","Driver","Female",24,"West Australia"
"NSW",1997,"Multiple","Passenger","Female",53,"New South Wales"
"SA",1997,"Single","Driver","Male",38,"South Australia"
"NSW",1997,"Single","Passenger","Male",33,"New South Wales"
"QLD",1997,"Single","Passenger","Male",23,"Queensland"
"VIC",1997,"Single","Pedestrian","Male",73,"Victoria"
"VIC",1997,"Multiple","Pedestrian","Male",66,"Victoria"
"WA",1997,"Single","Motorcycle rider","Male",48,"West Australia"
"VIC",1997,"Multiple","Passenger","Male",86,"Victoria"
"NSW",1997,"Single","Driver","Male",26,"New South Wales"
"QLD",1997,"Multiple","Driver","Female",19,"Queensland"
"NSW",1997,"Single","Passenger","Female",15,"New South Wales"
"VIC",1997,"Multiple","Motorcycle rider","Male",32,"Victoria"
"NSW",1997,"Single","Driver","Male",28,"New South Wales"
"WA",1997,"Multiple","Driver","Male",49,"West Australia"
"VIC",1997,"Multiple","Driver","Female",25,"Victoria"
"SA",1997,"Multiple","Driver","Female",48,"South Australia"
"NSW",1997,"Single","Pedestrian","Female",40,"New South Wales"
"NSW",1997,"Single","Motorcycle rider","Male",24,"New South Wales"
"NSW",1997,"Multiple","Driver","Male",52,"New South Wales"
"VIC",1997,"Multiple","Motorcycle rider","Male",29,"Victoria"
"VIC",1997,"Multiple","Passenger","Male",36,"Victoria"
"VIC",1997,"Single","Driver","Male",23,"Victoria"
"VIC",1997,"Single","Passenger","Male",36,"Victoria"
"VIC",1997,"Single","Passenger","Female",8,"Victoria"
"SA",1997,"Single","Driver","Male",86,"South Australia"
"SA",1997,"Multiple","Driver","Male",75,"South Australia"
"NSW",1997,"Single","Passenger","Male",22,"New South Wales"
"NSW",1997,"Multiple","Passenger","Female",28,"New South Wales"
"NSW",1997,"Single","Pedestrian","Male",26,"New South Wales"
"WA",1997,"Single","Driver","Male",78,"West Australia"
"VIC",1997,"Single","Pedestrian","Female",20,"Victoria"
"VIC",1997,"Multiple","Driver","Male",45,"Victoria"
"QLD",1997,"Single","Pedestrian","Female",76,"Queensland"
"NSW",1997,"Multiple","Motorcycle rider","Male",60,"New South Wales"
"NSW",1997,"Multiple","Passenger","Male",17,"New South Wales"
"QLD",1997,"Multiple","Motorcycle rider","Male",78,"Queensland"
"QLD",1997,"Multiple","Driver","Male",80,"Queensland"
"QLD",1997,"Multiple","Motorcycle rider","Male",29,"Queensland"
"VIC",1997,"Multiple","Passenger","Male",83,"Victoria"
"SA",1997,"Single","Driver","Female",82,"South Australia"
"NSW",1997,"Multiple","Passenger","Female",23,"New South Wales"
"WA",1997,"Multiple","Driver","Female",73,"West Australia"
"NSW",1997,"Multiple","Driver","Female",51,"New South Wales"
"QLD",1997,"Single","Driver","Male",32,"Queensland"
"NSW",1997,"Single","Pedestrian","Male",70,"New South Wales"
"QLD",1997,"Single","Passenger","Male",12,"Queensland"
"VIC",1997,"Single","Driver","Male",43,"Victoria"
"TAS",1997,"Multiple","Driver","Female",20,"Tasmania"
"NSW",1997,"Multiple","Passenger","Male",1,"New South Wales"
"SA",1997,"Multiple","Driver","Female",52,"South Australia"
"QLD",1997,"Multiple","Passenger","Female",66,"Queensland"
"QLD",1997,"Single","Passenger","Male",39,"Queensland"
"QLD",1997,"Multiple","Driver","Female",81,"Queensland"
